student_id,mapped_score
10895316,73.53912771664912
10556516,100.0
10768356,80.41006911756118
10699403,78.72421045717189
10867903,82.45995744626937
10879201,77.96860738826715
10726993,79.53324795893626
10812451,77.25598230194562
10864332,87.2179653240106
10749545,78.72421045717189
10928627,78.72421045717189
10491450,40.0
10829980,71.33728811791069
10697685,74.70079986348763
10967103,82.45995744626937
10946159,60.466752041063735
10560407,79.53324795893626
10931277,75.30529760189066
10606001,56.28479527197168
10693727,49.71930855066093
10949167,58.62475644527443
10879475,40.0
