student_id,mapped_score
10606001,40.0
10693727,72.63974854914215
10560407,100.0
10946159,40.0
10967103,79.99265962490544
10949167,40.0
10879475,40.0
10928627,79.70926904311516
10812451,80.60431348684484
10864332,74.0085684420767
10749545,72.92926740124591
10726993,87.9166696678455
10829980,81.87558366301074
10491450,40.0
10556516,84.7808510286799
10895316,68.3941775692547
10879201,77.68502718619294
10867903,87.09385362344815
10699403,92.16984126216295
10768356,87.54888059518093
